postcode,SFBB availability (% premises),UFBB availability (% premises),FTTP availability (% premises),District,County,TownCity
BD108AD,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108AE,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108AG,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108AN,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108AQ,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108AR,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108AS,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108AT,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108AU,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108AW,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108AZ,100,0,0,BRADFORD,West Yorkshire,BRADFORD
BD108BA,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108BB,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108BD,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108BE,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108BG,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108BH,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108BL,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108BN,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108BQ,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108BS,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108BT,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108BU,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108BW,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108BY,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108DA,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108DB,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108DD,100,0,0,BRADFORD,West Yorkshire,BRADFORD
BD108DE,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108DH,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108DJ,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108DL,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108DN,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108DX,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108EE,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108EG,100,0,0,BRADFORD,West Yorkshire,BRADFORD
BD108EP,100,0,0,BRADFORD,West Yorkshire,BRADFORD
BD108ER,100,0,0,BRADFORD,West Yorkshire,BRADFORD
BD108ES,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108ET,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108EU,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108EX,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108EY,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108EZ,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108HY,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108JD,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108JE,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108JF,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108JH,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108JJ,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108JL,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108JP,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108JQ,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108JR,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108JS,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108JT,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108JU,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108JX,100,0,0,BRADFORD,West Yorkshire,BRADFORD
BD108JZ,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108LA,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108LB,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108LE,100,0,0,BRADFORD,West Yorkshire,BRADFORD
BD108LF,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108LG,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108LH,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108LJ,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108LL,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108LN,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108LP,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108LR,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108LS,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108LT,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108LU,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108LX,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108LZ,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108NB,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108ND,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108NE,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108NH,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108NJ,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108NN,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108NP,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108NT,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108NU,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108NX,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108NY,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108PA,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108PB,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108PD,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108PE,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108PG,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108PH,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108PJ,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108PL,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108PN,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108PQ,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108PR,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108PU,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108PW,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108PY,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108QE,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108QF,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108QG,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108QH,89.5,10.5,0,BRADFORD,West Yorkshire,BRADFORD
BD108QJ,100,0,0,BRADFORD,West Yorkshire,BRADFORD
BD108QL,100,0,0,BRADFORD,West Yorkshire,BRADFORD
BD108QN,20,80,0,BRADFORD,West Yorkshire,BRADFORD
BD108QP,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108QQ,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108QR,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108QT,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108QU,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108QX,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108QY,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108QZ,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108RA,0,100,0,BRADFORD,West Yorkshire,BRADFORD
